timestamp,ip,method,url,status,response_time
2026-05-12 15:49:10,192.168.1.101,PUT,/api/data,400,4535
2026-05-12 15:49:10,192.168.1.101,GET,/api/login,500,1706
2026-05-12 15:49:10,192.168.1.100,GET,/api/order,500,2111
2026-05-12 15:49:10,192.168.1.101,GET,/api/data,400,3720
2026-05-12 15:49:10,192.168.1.100,GET,/api/users,500,103
2026-05-12 15:49:10,10.0.0.1,PUT,/api/login,201,857
2026-05-12 15:49:10,172.16.0.5,POST,/api/data,201,814
2026-05-12 15:49:10,172.16.0.5,PUT,/api/login,201,1728
2026-05-12 15:49:10,192.168.1.100,GET,/api/order,500,2126
2026-05-12 15:49:10,192.168.1.100,GET,/api/login,500,975
2026-05-12 15:49:10,192.168.1.101,DELETE,/api/data,201,2702
2026-05-12 15:49:10,192.168.1.100,DELETE,/api/login,200,290
2026-05-12 15:49:10,192.168.1.100,POST,/api/order,502,3882
2026-05-12 15:49:10,192.168.1.100,PUT,/api/order,502,3215
2026-05-12 15:49:10,192.168.1.100,GET,/api/users,400,3192
2026-05-12 15:49:10,172.16.0.5,POST,/api/order,201,663
2026-05-12 15:49:10,192.168.1.100,DELETE,/api/login,502,2364
2026-05-12 15:49:10,10.0.0.1,GET,/api/users,200,2506
2026-05-12 15:49:10,192.168.1.100,GET,/api/order,404,4795
2026-05-12 15:49:10,192.168.1.100,GET,/api/users,502,3776
2026-05-12 15:49:10,192.168.1.100,DELETE,/api/data,201,888
2026-05-12 15:49:10,172.16.0.5,GET,/api/data,500,3705
2026-05-12 15:49:10,192.168.1.100,GET,/api/data,500,4839
2026-05-12 15:49:10,172.16.0.5,DELETE,/api/data,500,4568
2026-05-12 15:49:10,172.16.0.5,POST,/api/data,500,671
2026-05-12 15:49:10,10.0.0.1,DELETE,/api/users,502,732
2026-05-12 15:49:10,192.168.1.101,DELETE,/api/users,500,4770
2026-05-12 15:49:10,192.168.1.101,PUT,/api/order,400,2469
2026-05-12 15:49:10,192.168.1.101,DELETE,/api/order,500,3202
2026-05-12 15:49:10,192.168.1.100,POST,/api/users,500,2820
2026-05-12 15:49:10,172.16.0.5,PUT,/api/login,404,530
2026-05-12 15:49:10,172.16.0.5,GET,/api/order,404,3228
2026-05-12 15:49:10,10.0.0.1,POST,/api/data,404,1503
2026-05-12 15:49:10,10.0.0.1,GET,/api/data,502,148
2026-05-12 15:49:10,172.16.0.5,POST,/api/data,201,520
2026-05-12 15:49:10,192.168.1.101,PUT,/api/users,200,3019
2026-05-12 15:49:10,172.16.0.5,PUT,/api/login,200,2161
2026-05-12 15:49:10,192.168.1.101,PUT,/api/login,201,1843
2026-05-12 15:49:10,10.0.0.1,PUT,/api/login,404,3320
2026-05-12 15:49:10,192.168.1.101,PUT,/api/data,502,3583
2026-05-12 15:49:10,10.0.0.1,DELETE,/api/order,502,4533
2026-05-12 15:49:10,192.168.1.101,DELETE,/api/order,502,1550
2026-05-12 15:49:10,192.168.1.100,PUT,/api/users,502,2907
2026-05-12 15:49:10,172.16.0.5,PUT,/api/login,200,1193
2026-05-12 15:49:10,10.0.0.1,PUT,/api/order,502,3892
2026-05-12 15:49:10,192.168.1.100,POST,/api/data,200,1204
2026-05-12 15:49:10,192.168.1.101,DELETE,/api/order,404,1454
2026-05-12 15:49:10,172.16.0.5,POST,/api/order,201,1895
2026-05-12 15:49:10,172.16.0.5,POST,/api/login,404,2389
2026-05-12 15:49:10,192.168.1.100,PUT,/api/login,200,2135
2026-05-12 15:49:10,10.0.0.1,POST,/api/order,400,3844
2026-05-12 15:49:10,172.16.0.5,GET,/api/users,201,703
2026-05-12 15:49:10,192.168.1.100,PUT,/api/order,500,1998
2026-05-12 15:49:10,10.0.0.1,DELETE,/api/order,201,3533
2026-05-12 15:49:10,192.168.1.101,POST,/api/users,200,4154
2026-05-12 15:49:10,10.0.0.1,DELETE,/api/users,404,2431
2026-05-12 15:49:10,192.168.1.100,GET,/api/login,200,2776
2026-05-12 15:49:10,172.16.0.5,POST,/api/data,502,2115
2026-05-12 15:49:10,192.168.1.100,GET,/api/data,502,4780
2026-05-12 15:49:10,10.0.0.1,POST,/api/login,500,2971
2026-05-12 15:49:10,192.168.1.101,POST,/api/login,502,2556
2026-05-12 15:49:10,192.168.1.101,GET,/api/login,400,2588
2026-05-12 15:49:10,10.0.0.1,POST,/api/order,500,2004
2026-05-12 15:49:10,192.168.1.100,PUT,/api/login,500,1540
2026-05-12 15:49:10,10.0.0.1,PUT,/api/data,201,2
2026-05-12 15:49:10,10.0.0.1,GET,/api/data,404,2880
2026-05-12 15:49:10,10.0.0.1,GET,/api/users,404,80
2026-05-12 15:49:10,172.16.0.5,PUT,/api/login,500,4309
2026-05-12 15:49:10,10.0.0.1,DELETE,/api/users,200,4261
